id,lang,timespan,keyword,topics,topic_name,count
fr_1870_telephone_8,fr,1870,telephone,"['bien', 'vouloir', 'homme', 'venir', 'femme', 'avoir', 'faire', 'être', 'savoir', 'dire', 'mort', 'jeune', 'croire', 'voir', 'passer']",random,0
fr_1870_telephone_9,fr,1870,telephone,"['fort', 'chien', 'enfant', 'côte', 'vieux', 'fete', 'fille', 'blanc', 'science', 'jour', 'voyage', 'soleil', 'comprendre', 'Rome', 'allemand']",vacation,42
fr_1870_telephone_10,fr,1870,telephone,"['action', 'Compagnie', 'cours', 'bourse', 'capital', 'janvier', 'centime', 'titre', 'banque', 'cote', 'Societe', 'fonds', 'hausse', 'prix', 'million']",stock,121
fr_1870_telephone_11,fr,1870,telephone,"['ministre', 'prince', 'politique', 'president', 'gouvernement', 'republicain', 'depute', 'chef', 'Gambetta', 'chambre', 'guerre', 'republique', 'comte', 'ministere', 'parti']",politics,41
fr_1870_telephone_12,fr,1870,telephone,"['maison', 'dame', 'metre', 'boulevard', 'vente', 'riche', 'meilleur', 'poste', 'vendre', 'contre', 'maladie', 'choix', 'heure', 'novembre', 'cheval']",real estate,96
ger_1920_telephone_0,ger,1920,telephone,"['Juli', 'Bremen', 'Heimr', 'Pass', 'Dtsch', 'Juni', 'Rotterdam', 'AuSr', 'Maer', 'April', 'August', 'Maerz', 'Masch', 'Junt', 'Leder']",cities,46
ger_1920_telephone_1,ger,1920,telephone,"['deutsch', 'ueber', 'Dampfer', 'stehen', 'letzter', 'bringen', 'lassen', 'fuer', 'gestern', 'sehen', 'sprechen', 'Deutschland', 'geben', 'halten', 'Mensch']",boats,341
ger_1920_telephone_2,ger,1920,telephone,"['suchen', 'leer', 'Miete', 'Moebl', 'verk', 'Bill', 'verm', 'billig', 'Sonn', 'Zimmer', 'Suche', 'Verk', 'Laden', 'Hamb', 'Altona']",sales,529
ger_1920_telephone_3,ger,1920,telephone,"['nich', 'Prokura', 'Heirat', 'erloschen', 'erteilen', 'Firma', 'Inhaber', 'Heir', 'grau', 'Heinrich', 'hett', 'Froo', 'Sick', 'mien', 'bestellen']",companies,237
ger_1920_telephone_4,ger,1920,telephone,"['Pension', 'Wald', 'Pens', 'Post', 'Prospekt', 'preise', 'Verpfleg', 'Wasser', 'direkt', 'Verpflegung', 'Nebenkosten', 'Zart', 'Preis', 'Pensionspreis', 'Walde']",real estate,44
ger_1900_iron_0,ger,1900,iron,"['Werk', 'Kunst', 'gewiß', 'natuerlich', 'Million', 'gering', 'Bedeutung', 'deutsch', 'Volk', 'Gebiet', 'Land', 'Deutschland', 'Form', 'sogar', 'Zahl']",art,715
ger_1900_iron_1,ger,1900,iron,"['Dampfer', 'gestern', 'wohnend', 'Schiff', 'erleiden', 'Kapitaen', 'hiesig', 'Oktober', 'Bord', 'abend', 'Elbe', 'Hafen', 'Dieb', 'wnrde', 'Juli']",boats,1212
ger_1900_iron_2,ger,1900,iron,"['Milch', 'Pfund', 'Abteilung', 'zahlen', 'Verein', 'Bioson', 'Adresse', 'bezahlen', 'siir', 'empfehlen', 'Preis', 'Fisch', 'Mark', 'Apotheke', 'Firma']",production,245
ger_1900_iron_3,ger,1900,iron,"['Heinrich', 'Friedrich', 'Anna', 'Standesamt', 'Carl', 'Marie', 'Wilhelm', 'Johann', 'Maria', 'Johanna', 'Dorothea', 'Emma', 'August', 'Hermann', 'vergeben']",random,0
ger_1900_iron_4,ger,1900,iron,"['angeklagter', 'Zeuge', 'Klaeger', 'Gericht', 'Gefaengnis', 'Maedchen', 'verurteilen', 'Geld', 'Mord', 'Staatsanwalt', 'sterben', 'Frau', 'Polizei', 'Moerder', 'Strafe']",crime,221
ger_1900_iron_5,ger,1900,iron,"['Antrag', 'Senat', 'Buergerschaft', 'Redner', 'Ausschuß', 'Partei', 'Gesetz', 'Kommission', 'Wahl', 'Vorlage', 'Februar', 'Beratung', 'betreffend', 'Resolution', 'Reichstag']",politics,727
ger_1900_iron_6,ger,1900,iron,"['unae', 'loeo', 'uncl', 'kllr', 'vlir', 'Oktober', 'Unck', 'Vorm', 'erstatt', 'Uuck', 'November', 'unck', 'uuae', 'unci', 'Januar']",random,0
