,keyword,threshold,threshold_relax,algo,modularity,performance,coverage,nodes
83,gasoline,0.75,5.0,louvain,0.5,1.0,1.0,4
84,gasoline,0.75,5.25,greedy,0.5,1.0,1.0,4
85,gasoline,0.75,5.25,louvain,0.5,1.0,1.0,4
86,gasoline,0.75,5.5,greedy,0.5,1.0,1.0,4
87,gasoline,0.75,5.5,louvain,0.5,1.0,1.0,4
88,gasoline,0.75,5.75,greedy,0.5,1.0,1.0,4
89,gasoline,0.75,5.75,louvain,0.5,1.0,1.0,4
90,gasoline,0.75,6.0,greedy,0.5,1.0,1.0,4
91,gasoline,0.75,6.0,louvain,0.5,1.0,1.0,4
92,gasoline,0.75,6.25,greedy,0.5,1.0,1.0,4
93,gasoline,0.75,6.25,louvain,0.5,1.0,1.0,4
94,gasoline,0.75,6.5,greedy,0.5,1.0,1.0,4
95,gasoline,0.75,6.5,louvain,0.5,1.0,1.0,4
96,gasoline,0.75,6.75,greedy,0.5,1.0,1.0,4
97,gasoline,0.75,6.75,louvain,0.5,1.0,1.0,4
98,gasoline,1.0,1.25,greedy,0.5,1.0,1.0,4
99,gasoline,1.0,1.25,louvain,0.5,1.0,1.0,4
100,gasoline,1.0,1.5,greedy,0.5,1.0,1.0,4
101,gasoline,1.0,1.5,louvain,0.5,1.0,1.0,4
102,gasoline,1.0,1.75,greedy,0.5,1.0,1.0,4
103,gasoline,1.0,1.75,louvain,0.5,1.0,1.0,4
104,gasoline,1.0,2.0,greedy,0.5,1.0,1.0,4
105,gasoline,1.0,2.0,louvain,0.5,1.0,1.0,4
106,gasoline,1.0,2.25,greedy,0.5,1.0,1.0,4
107,gasoline,1.0,2.25,louvain,0.5,1.0,1.0,4
108,gasoline,1.0,2.5,greedy,0.5,1.0,1.0,4
109,gasoline,1.0,2.5,louvain,0.5,1.0,1.0,4
110,gasoline,1.0,2.75,greedy,0.5,1.0,1.0,4
111,gasoline,1.0,2.75,louvain,0.5,1.0,1.0,4
112,gasoline,1.0,3.0,greedy,0.5,1.0,1.0,4
113,gasoline,1.0,3.0,louvain,0.5,1.0,1.0,4
114,gasoline,1.0,3.25,greedy,0.5,1.0,1.0,4
115,gasoline,1.0,3.25,louvain,0.5,1.0,1.0,4
116,gasoline,1.0,3.5,greedy,0.5,1.0,1.0,4
117,gasoline,1.0,3.5,louvain,0.5,1.0,1.0,4
118,gasoline,1.0,3.75,greedy,0.5,1.0,1.0,4
119,gasoline,1.0,3.75,louvain,0.5,1.0,1.0,4
120,gasoline,1.0,4.0,greedy,0.5,1.0,1.0,4
121,gasoline,1.0,4.0,louvain,0.5,1.0,1.0,4
122,gasoline,1.0,4.25,greedy,0.5,1.0,1.0,4
123,gasoline,1.0,4.25,louvain,0.5,1.0,1.0,4
124,gasoline,1.0,4.5,greedy,0.5,1.0,1.0,4
125,gasoline,1.0,4.5,louvain,0.5,1.0,1.0,4
126,gasoline,1.0,4.75,greedy,0.5,1.0,1.0,4
127,gasoline,1.0,4.75,louvain,0.5,1.0,1.0,4
128,gasoline,1.0,5.0,greedy,0.5,1.0,1.0,4
129,gasoline,1.0,5.0,louvain,0.5,1.0,1.0,4
130,gasoline,1.0,5.25,greedy,0.5,1.0,1.0,4
131,gasoline,1.0,5.25,louvain,0.5,1.0,1.0,4
132,gasoline,1.0,5.5,greedy,0.5,1.0,1.0,4
133,gasoline,1.0,5.5,louvain,0.5,1.0,1.0,4
134,gasoline,1.0,5.75,greedy,0.5,1.0,1.0,4
135,gasoline,1.0,5.75,louvain,0.5,1.0,1.0,4
136,gasoline,1.0,6.0,greedy,0.5,1.0,1.0,4
137,gasoline,1.0,6.0,louvain,0.5,1.0,1.0,4
138,gasoline,1.0,6.25,greedy,0.5,1.0,1.0,4
139,gasoline,1.0,6.25,louvain,0.5,1.0,1.0,4
140,gasoline,1.0,6.5,greedy,0.5,1.0,1.0,4
141,gasoline,1.0,6.5,louvain,0.5,1.0,1.0,4
142,gasoline,1.0,6.75,greedy,0.5,1.0,1.0,4
